source_id,gincdif,freehms,stflife,happy,trstprl
55851,2,2,8,8,2
55871,2,3,8,9,2
55872,3,3,3,8,0
55922,2,3,8,9,0
55930,4,5,10,5,5
55946,2,1,8,8,2
55953,,4,5,5,2
55957,4,,9,6,0
55959,3,3,3,7,3
56016,1,2,9,9,4
56029,2,3,9,10,5
56033,4,3,5,5,5
56052,1,3,7,7,1
56053,2,5,10,10,10
56093,1,3,8,8,3
56101,2,2,8,8,2
56151,4,3,6,7,5
56153,2,5,10,5,0
56155,4,5,8,9,1
56167,3,5,8,7,3
56215,2,3,7,6,0
56324,1,5,8,8,0
56407,3,3,10,10,0
56450,1,5,4,3,5
56470,1,1,4,7,8
56474,4,4,5,7,0
56491,2,4,7,8,0
56504,4,1,8,8,7
56527,2,2,0,5,5
56550,2,4,10,8,5
56553,2,2,5,5,3
56554,3,2,9,9,8
56644,1,2,2,3,1
56654,2,3,8,7,6
56668,1,4,9,10,0
56674,2,4,5,6,3
56682,3,4,7,5,7
56700,2,3,5,5,3
56726,2,5,6,10,3
56760,1,4,8,8,4
56768,2,4,7,7,6
56778,2,5,9,5,0
56787,2,2,9,8,7
56809,3,1,7,9,6
57003,1,4,6,7,2
57028,1,3,8,9,4
57067,2,2,6,6,4
57070,1,2,6,6,9
57076,2,3,8,8,6
57078,2,3,5,7,1
57089,2,4,5,7,0
57092,1,1,8,8,5
57107,2,3,10,7,3
57109,1,3,5,5,0
57116,2,2,10,10,6
57119,4,3,8,10,1
57125,4,4,7,7,1
57139,2,4,9,9,2
57152,1,4,7,7,3
57183,1,4,9,7,0
57214,4,5,10,10,0
57255,1,3,8,7,4
57271,2,2,7,8,3
57275,1,3,10,10,7
57292,4,2,8,8,5
57372,5,2,7,7,7
57392,2,4,10,10,2
57410,1,3,2,9,3
57433,2,2,8,8,3
57441,2,2,6,7,4
57465,,1,2,3,3
57466,2,4,8,5,5
57477,2,4,8,9,4
57504,3,2,8,8,4
57517,2,4,10,7,5
57546,1,2,5,7,3
57557,2,5,6,0,8
57587,2,3,6,5,4
57608,2,4,7,7,2
57618,2,2,9,9,5
57644,2,5,7,7,8
57650,1,4,7,7,4
57668,4,3,10,10,5
57744,2,3,6,6,5
57753,4,5,0,0,0
57764,1,4,8,9,6
57770,1,1,7,6,4
57793,2,2,10,10,10
57813,1,3,9,9,5
57818,3,4,6,6,4
57825,3,4,6,8,3
57828,2,2,8,10,8
57842,4,2,,4,0
57848,1,2,6,7,7
57850,2,4,6,7,5
57878,1,3,7,8,2
57884,3,4,6,7,4
57885,2,5,5,3,0
57888,2,3,9,10,2
57962,1,5,9,8,0
57990,1,4,8,7,6
58025,2,2,8,8,5
58027,3,2,7,8,5
58054,2,3,8,7,3
58080,1,1,6,10,0
58095,5,5,10,8,5
58128,1,1,4,5,0
58228,4,1,10,9,7
58265,2,3,7,7,5
58351,2,3,10,10,2
58377,2,2,9,9,6
58387,3,4,8,9,4
58473,1,2,4,8,4
58475,1,2,6,7,3
58485,2,4,1,1,1
58575,2,2,9,9,4
58617,1,1,9,9,6
58634,1,1,6,5,3
58703,2,3,2,5,2
58704,2,5,4,5,2
58714,3,3,10,8,5
58756,2,4,6,7,1
58830,2,2,8,9,1
58856,1,1,10,9,2
58888,1,2,7,7,2
58890,1,3,8,4,2
58920,2,4,1,3,3
58937,2,2,8,8,3
58950,1,3,0,10,0
58985,2,2,8,8,7
58992,2,2,4,5,1
59049,4,4,7,9,1
59068,4,4,8,8,7
59090,1,2,8,7,7
59101,1,5,5,8,0
59187,3,1,8,8,4
59209,4,1,7,7,1
59216,1,3,10,9,1
59232,1,4,6,5,0
59235,4,4,8,9,10
59284,1,4,8,8,3
59322,4,4,8,8,0
59396,1,1,9,9,4
59467,4,1,2,1,8
59475,2,2,8,8,3
59485,1,4,6,7,3
59638,1,2,8,9,4
59667,1,2,8,9,1
59669,2,4,9,8,4
59674,2,3,8,7,5
59697,1,5,8,8,5
59732,2,5,7,8,7
59802,1,3,6,7,1
59835,1,3,7,8,0
59848,2,4,10,8,6
59854,1,3,8,8,0
59876,1,5,0,5,0
59888,2,3,4,9,1
59961,2,4,8,10,2
59966,3,1,7,6,6
59979,2,2,7,9,1
60028,1,5,5,7,0
60033,2,4,9,8,4
60078,2,3,8,8,3
60117,2,2,7,8,8
60222,2,2,7,7,5
60266,2,2,6,6,
60278,2,3,8,5,3
60284,1,5,7,6,7
60317,2,2,9,9,5
60357,2,2,8,9,5
60371,2,4,8,9,1
60508,2,5,7,10,5
60545,3,4,4,3,3
60553,3,5,4,6,5
60561,2,2,9,9,5
60597,1,4,3,4,0
60636,3,3,5,7,5
60669,1,3,6,6,2
60671,3,4,8,8,4
60675,3,2,9,9,3
60686,3,3,8,9,8
60719,1,1,7,7,3
60776,1,4,8,8,1
60857,3,4,8,7,7
60920,1,4,7,4,5
60954,1,,0,2,0
60958,3,4,8,8,4
60991,2,2,9,9,3
61005,2,3,8,8,7
61007,4,2,6,8,3
61016,2,2,8,8,1
61022,3,2,8,8,5
61063,2,2,9,8,5
61116,2,,7,7,5
61125,2,3,5,5,3
61177,2,3,5,5,5
61178,4,4,5,8,2
61187,2,4,10,10,1
61254,3,1,10,10,7
61261,3,4,8,7,3
61262,5,1,8,8,8
61270,2,5,7,8,5
61339,2,2,8,8,6
61369,1,2,8,8,1
61372,2,3,8,10,7
61373,4,4,7,6,4
61400,3,2,8,8,5
61508,5,2,7,8,1
61523,2,1,7,7,1
61576,4,1,7,6,7
61592,2,4,10,7,5
61599,2,2,6,8,2
61615,1,5,8,8,4
61635,1,5,10,10,9
61713,1,3,8,9,1
61725,3,3,5,5,6
61738,4,4,10,10,5
61807,3,5,8,8,6
61840,2,3,7,8,5
61853,2,2,7,6,1
61863,1,2,9,8,2
61865,2,2,,10,10
61875,4,4,10,10,2
61919,3,2,,9,0
61921,1,2,7,7,6
61960,4,4,7,7,3
61991,4,2,8,9,6
62035,2,5,10,5,0
62077,2,3,8,9,2
62099,2,4,5,6,0
62124,4,4,0,10,0
62136,2,2,5,8,5
62183,2,2,4,10,2
62190,2,3,8,9,7
62201,2,4,8,8,4
62212,3,4,8,7,5
62226,3,5,10,10,3
62254,3,5,10,7,8
62296,2,3,,9,3
62310,2,3,6,7,1
62423,2,5,8,7,6
62449,2,1,9,7,5
62477,2,2,5,7,3
62520,2,,9,7,8
62591,2,5,7,8,6
62647,3,3,8,8,5
62660,1,5,0,0,0
62675,1,5,6,4,0
62676,1,4,8,8,5
62779,2,2,8,7,6
62792,3,2,4,6,6
62853,3,3,4,5,6
62883,2,3,8,8,4
62887,1,3,5,6,4
62951,3,3,4,7,0
62977,3,3,8,6,4
63051,2,2,8,9,7
63081,2,4,7,7,6
63103,3,3,4,9,1
63104,2,4,3,5,5
63122,2,3,3,10,7
63123,,5,,3,0
63129,4,2,9,9,3
63139,2,4,0,2,0
63166,1,4,8,8,4
63173,3,4,3,6,5
63223,1,4,4,4,5
63253,3,2,8,8,6
63254,2,3,8,8,0
63264,1,3,8,8,3
63291,1,5,3,5,0
63323,1,2,8,8,2
63359,2,3,10,9,2
63363,5,2,9,9,4
63384,3,2,9,9,3
63389,1,1,2,2,2
63391,2,4,8,10,6
63394,1,2,8,8,4
63413,2,2,7,7,4
63421,4,1,6,4,0
63441,2,4,6,7,5
63447,1,4,7,6,3
63497,2,2,8,7,4
63511,3,3,9,2,1
63543,4,3,8,8,5
63619,3,5,8,8,8
63623,1,4,7,8,6
63629,4,2,7,8,6
63630,1,1,5,5,5
63637,4,2,10,10,7
63654,3,3,5,4,5
63827,2,5,10,10,0
63842,2,4,7,8,3
63880,1,4,8,8,4
63914,1,1,1,0,1
63950,2,4,8,7,0
63980,2,4,9,10,4
64033,2,3,5,8,1
64051,1,3,3,5,2
64063,1,2,7,6,4
64098,2,2,6,8,5
64129,4,4,9,9,4
64154,2,4,8,9,5
64157,3,1,10,10,6
64167,1,5,7,10,2
64214,2,2,7,7,7
64300,3,1,10,10,5
64357,2,2,4,5,4
64358,1,3,5,6,6
64393,3,3,9,10,7
64398,4,2,10,10,10
64406,2,4,7,8,0
64467,2,2,7,9,5
64483,3,4,7,10,0
64492,1,4,8,8,4
64493,1,2,9,9,0
64510,2,5,9,7,2
64595,3,4,10,10,0
64605,1,4,8,10,0
64639,4,2,7,8,4
64640,2,4,5,6,5
64650,2,1,9,8,7
64659,2,3,,8,0
64719,3,2,7,7,2
64728,1,2,8,8,4
64732,4,1,8,9,6
64736,5,2,3,10,3
64751,1,2,10,9,8
64769,2,2,9,9,
64781,2,2,5,5,4
64846,2,3,7,9,0
64887,2,4,8,7,4
64898,2,4,5,10,0
64903,1,2,5,5,2
64918,2,2,7,8,0
64923,3,4,8,6,7
64942,2,2,6,7,5
64952,3,2,5,7,3
64999,3,3,8,9,10
65003,1,2,5,7,5
65021,1,5,5,0,0
65049,2,5,7,7,4
65070,2,3,9,10,8
65128,2,4,7,7,4
65167,2,2,5,5,2
65172,4,2,9,9,3
65180,1,4,7,7,4
65253,3,2,8,9,6
65285,2,3,7,10,0
65304,1,3,8,8,1
65357,2,3,6,8,0
65358,2,4,10,10,0
65361,1,4,10,10,2
65365,1,2,9,8,3
65385,4,4,8,8,7
65426,2,3,9,8,6
65431,2,2,9,9,5
65454,1,5,7,7,2
65495,2,3,8,9,6
65499,2,2,8,9,7
65544,1,4,6,8,4
65588,3,3,7,7,2
65600,1,3,4,5,3
65610,1,4,10,10,0
65637,2,3,6,8,6
65653,1,3,6,8,8
65726,2,2,10,10,0
65839,2,3,6,10,3
65851,1,5,10,10,5
65878,2,2,4,6,4
65904,4,4,8,7,1
65953,1,4,7,7,3
65957,2,2,5,5,0
65987,1,5,6,5,8
66019,2,5,5,4,2
66029,3,2,9,8,4
66037,2,2,8,8,6
66039,4,3,7,7,5
66046,2,2,8,7,6
66065,1,3,7,7,10
66090,1,2,5,6,3
66156,2,3,1,2,2
66163,3,4,2,8,2
66340,4,3,5,8,7
66344,3,1,8,8,7
66361,2,3,7,8,4
66385,1,5,5,6,4
66407,3,3,5,6,10
66457,1,5,5,3,5
66489,1,5,5,7,0
66509,2,4,8,7,7
66582,1,4,9,6,3
66591,1,2,3,3,5
66602,1,5,8,8,3
66627,4,2,8,9,5
66631,1,2,6,5,0
66670,4,4,10,8,
66696,2,2,8,8,9
66757,2,4,6,6,0
66769,1,2,8,9,4
66856,4,2,6,5,5
66917,2,2,8,8,4
66938,1,2,9,9,4
66974,3,2,7,7,3
67007,2,4,10,10,3
67028,3,2,10,9,3
67041,1,3,8,8,0
67044,2,2,7,8,0
67082,4,2,7,8,7
67097,5,1,8,8,8
67138,1,3,6,6,4
67180,2,3,5,8,0
67191,2,5,7,9,3
67311,2,3,8,9,2
67340,1,3,10,10,0
67430,4,5,10,5,2
67438,2,2,9,9,6
67440,1,3,5,8,4
67459,,4,0,0,0
67462,2,4,5,8,2
67477,1,2,9,9,3
67479,1,4,6,6,5
67505,2,3,3,3,2
67534,3,3,8,8,5
67573,3,3,7,7,5
67582,1,5,0,10,0
67611,3,2,8,8,3
67614,,,8,7,2
67627,2,2,1,10,1
67665,1,2,9,9,4
67691,2,3,9,8,8
67700,1,4,10,9,3
67715,1,3,6,7,0
67797,1,2,9,9,3
67887,1,4,6,7,4
67918,1,2,5,4,2
67929,1,1,7,5,9
67943,3,3,,9,4
67975,2,2,6,6,2
67979,2,3,7,7,5
67996,2,4,8,10,4
67998,2,4,9,9,6
68005,2,3,8,8,5
68011,1,4,6,5,4
68029,1,4,7,7,4
68048,1,5,5,5,0
68052,2,4,5,6,6
68079,3,1,9,8,7
68102,2,5,1,0,2
68161,1,2,9,9,4
68250,1,4,6,6,3
68264,3,2,6,3,2
68267,1,2,8,9,6
68288,1,3,7,7,0
68334,2,4,6,9,6
68336,2,4,8,7,5
68352,2,4,7,7,5
68357,2,3,3,4,1
68377,2,4,5,5,4
68398,1,3,8,8,3
68413,2,2,10,10,5
68442,1,2,10,10,7
68512,1,3,7,9,0
68519,1,3,9,9,4
68534,3,5,10,8,5
68573,3,2,8,8,6
68583,2,3,3,5,4
68641,2,5,9,9,5
68704,2,1,10,10,0
68710,3,2,8,8,1
68718,1,3,7,7,3
68719,2,4,7,5,5
68734,3,3,5,10,4
68740,3,2,9,7,4
68750,4,2,8,9,5
68758,2,5,6,8,3
68779,3,4,8,10,5
68783,1,2,10,10,0
68818,4,4,7,9,4
68840,2,2,9,9,8
68861,3,3,10,10,0
68962,3,2,8,9,1
69024,3,2,5,8,4
69079,3,3,2,4,1
69139,2,3,10,6,0
69146,1,5,7,6,6
69147,3,5,7,5,2
69153,4,4,7,8,0
69159,1,2,8,9,4
69255,1,5,2,8,0
69256,1,2,8,9,4
69258,1,3,5,7,7
69282,2,2,,10,8
69293,2,4,6,7,4
69305,3,2,5,10,1
69348,2,2,8,8,2
69368,3,2,7,5,4
69372,1,1,9,10,3
69378,1,1,7,9,5
